Row,Date,Year,Month,YearMonth,Day,Week Index,Day Index,is_weekend,is_market_holiday,is_eq_weekly_exp,eq_weekly_exp_cumulative,is_eq_monthly_exp,is_eq_quarterly_exp,is_vix_weekly_exp,vix_weekly_exp_cumulative,is_vix_monthly_exp,is_vix_quarterly_exp
1,1/1/2016,2016,1,2016-1,1,1,6,0,0,1,1,0,0,0,0,0,0
2,1/2/2016,2016,1,2016-1,2,1,7,1,0,0,1,0,0,0,0,0,0
3,1/3/2016,2016,1,2016-1,3,2,1,1,0,0,1,0,0,0,0,0,0
4,1/4/2016,2016,1,2016-1,4,2,2,0,0,0,1,0,0,0,0,0,0
5,1/5/2016,2016,1,2016-1,5,2,3,0,0,0,1,0,0,1,1,0,0
6,1/6/2016,2016,1,2016-1,6,2,4,0,0,0,1,0,0,0,1,0,0
7,1/7/2016,2016,1,2016-1,7,2,5,0,0,0,1,0,0,0,1,0,0
8,1/8/2016,2016,1,2016-1,8,2,6,0,0,1,2,0,0,0,1,0,0
9,1/9/2016,2016,1,2016-1,9,2,7,1,0,0,2,0,0,0,1,0,0
10,1/10/2016,2016,1,2016-1,10,3,1,1,0,0,2,0,0,0,1,0,0
11,1/11/2016,2016,1,2016-1,11,3,2,0,0,0,2,0,0,0,1,0,0
12,1/12/2016,2016,1,2016-1,12,3,3,0,0,0,2,0,0,1,2,0,0
13,1/13/2016,2016,1,2016-1,13,3,4,0,0,0,2,0,0,0,2,0,0
14,1/14/2016,2016,1,2016-1,14,3,5,0,0,0,2,0,0,0,2,0,0
15,1/15/2016,2016,1,2016-1,15,3,6,0,0,1,3,1,0,0,2,0,0
16,1/16/2016,2016,1,2016-1,16,3,7,1,0,0,3,0,0,0,2,0,0
17,1/17/2016,2016,1,2016-1,17,4,1,1,0,0,3,0,0,0,2,0,0
18,1/18/2016,2016,1,2016-1,18,4,2,0,0,0,3,0,0,0,2,0,0
19,1/19/2016,2016,1,2016-1,19,4,3,0,0,0,3,0,0,1,3,1,0
20,1/20/2016,2016,1,2016-1,20,4,4,0,0,0,3,0,0,0,3,0,0
21,1/21/2016,2016,1,2016-1,21,4,5,0,0,0,3,0,0,0,3,0,0
22,1/22/2016,2016,1,2016-1,22,4,6,0,0,1,4,0,0,0,3,0,0
23,1/23/2016,2016,1,2016-1,23,4,7,1,0,0,4,0,0,0,3,0,0
24,1/24/2016,2016,1,2016-1,24,5,1,1,0,0,4,0,0,0,3,0,0
25,1/25/2016,2016,1,2016-1,25,5,2,0,0,0,4,0,0,0,3,0,0
26,1/26/2016,2016,1,2016-1,26,5,3,0,0,0,4,0,0,1,4,0,0
27,1/27/2016,2016,1,2016-1,27,5,4,0,0,0,4,0,0,0,4,0,0
28,1/28/2016,2016,1,2016-1,28,5,5,0,0,0,4,0,0,0,4,0,0
29,1/29/2016,2016,1,2016-1,29,5,6,0,0,1,5,0,0,0,4,0,0
30,1/30/2016,2016,1,2016-1,30,5,7,1,0,0,5,0,0,0,4,0,0
31,1/31/2016,2016,1,2016-1,31,6,1,1,0,0,5,0,0,0,4,0,0
32,2/1/2016,2016,2,2016-2,1,6,2,0,0,0,0,0,0,0,0,0,0
33,2/2/2016,2016,2,2016-2,2,6,3,0,0,0,0,0,0,1,1,0,0
34,2/3/2016,2016,2,2016-2,3,6,4,0,0,0,0,0,0,0,1,0,0
35,2/4/2016,2016,2,2016-2,4,6,5,0,0,0,0,0,0,0,1,0,0
36,2/5/2016,2016,2,2016-2,5,6,6,0,0,1,1,0,0,0,1,0,0
37,2/6/2016,2016,2,2016-2,6,6,7,1,0,0,1,0,0,0,1,0,0
38,2/7/2016,2016,2,2016-2,7,7,1,1,0,0,1,0,0,0,1,0,0
39,2/8/2016,2016,2,2016-2,8,7,2,0,0,0,1,0,0,0,1,0,0
40,2/9/2016,2016,2,2016-2,9,7,3,0,0,0,1,0,0,1,2,0,0
41,2/10/2016,2016,2,2016-2,10,7,4,0,0,0,1,0,0,0,2,0,0
42,2/11/2016,2016,2,2016-2,11,7,5,0,0,0,1,0,0,0,2,0,0
43,2/12/2016,2016,2,2016-2,12,7,6,0,0,1,2,0,0,0,2,0,0
44,2/13/2016,2016,2,2016-2,13,7,7,1,0,0,2,0,0,0,2,0,0
45,2/14/2016,2016,2,2016-2,14,8,1,1,0,0,2,0,0,0,2,0,0
46,2/15/2016,2016,2,2016-2,15,8,2,0,0,0,2,0,0,0,2,0,0
47,2/16/2016,2016,2,2016-2,16,8,3,0,0,0,2,0,0,1,3,1,0
48,2/17/2016,2016,2,2016-2,17,8,4,0,0,0,2,0,0,0,3,0,0
49,2/18/2016,2016,2,2016-2,18,8,5,0,0,0,2,0,0,0,3,0,0
50,2/19/2016,2016,2,2016-2,19,8,6,0,0,1,3,1,0,0,3,0,0
51,2/20/2016,2016,2,2016-2,20,8,7,1,0,0,3,0,0,0,3,0,0
52,2/21/2016,2016,2,2016-2,21,9,1,1,0,0,3,0,0,0,3,0,0
53,2/22/2016,2016,2,2016-2,22,9,2,0,0,0,3,0,0,0,3,0,0
54,2/23/2016,2016,2,2016-2,23,9,3,0,0,0,3,0,0,1,4,0,0
55,2/24/2016,2016,2,2016-2,24,9,4,0,0,0,3,0,0,0,4,0,0
56,2/25/2016,2016,2,2016-2,25,9,5,0,0,0,3,0,0,0,4,0,0
57,2/26/2016,2016,2,2016-2,26,9,6,0,0,1,4,0,0,0,4,0,0
58,2/27/2016,2016,2,2016-2,27,9,7,1,0,0,4,0,0,0,4,0,0
59,2/28/2016,2016,2,2016-2,28,10,1,1,0,0,4,0,0,0,4,0,0
60,2/29/2016,2016,2,2016-2,29,10,2,0,0,0,4,0,0,0,4,0,0
61,3/1/2016,2016,3,2016-3,1,10,3,0,0,0,0,0,0,1,1,0,0
62,3/2/2016,2016,3,2016-3,2,10,4,0,0,0,0,0,0,0,1,0,0
63,3/3/2016,2016,3,2016-3,3,10,5,0,0,0,0,0,0,0,1,0,0
64,3/4/2016,2016,3,2016-3,4,10,6,0,0,1,1,0,0,0,1,0,0
65,3/5/2016,2016,3,2016-3,5,10,7,1,0,0,1,0,0,0,1,0,0
66,3/6/2016,2016,3,2016-3,6,11,1,1,0,0,1,0,0,0,1,0,0
67,3/7/2016,2016,3,2016-3,7,11,2,0,0,0,1,0,0,0,1,0,0
68,3/8/2016,2016,3,2016-3,8,11,3,0,0,0,1,0,0,1,2,0,0
69,3/9/2016,2016,3,2016-3,9,11,4,0,0,0,1,0,0,0,2,0,0
70,3/10/2016,2016,3,2016-3,10,11,5,0,0,0,1,0,0,0,2,0,0
71,3/11/2016,2016,3,2016-3,11,11,6,0,0,1,2,0,0,0,2,0,0
72,3/12/2016,2016,3,2016-3,12,11,7,1,0,0,2,0,0,0,2,0,0
73,3/13/2016,2016,3,2016-3,13,12,1,1,0,0,2,0,0,0,2,0,0
74,3/14/2016,2016,3,2016-3,14,12,2,0,0,0,2,0,0,0,2,0,0
